Done? (Y),Company/Organization,Test Name,Select,*URL,Test Type (Lab or Kit),Country of Origin,US Regulatory Status,Category,Authorized Setting(s) per FDA,Technology,Analyte,Assay,Specimen Type,Transport Media,Gene,Antigen,Sample Prep,Detection,TAT,Analytical Sensitivity (LOD),LOD of FDA Reference Panel (NDU/mL),Cross- Reactivity,PPA/Sensitivity,PPA Sample Size,PPA Specimen Type,NPA/Specificity,NPA Sample Size,NPV @ 5% prevalence,PPV@ 5% prevalence,Manufacturer's Validation Notes,External Quality Control,Process (internal) Control,Positive Control,*Publications,*IFU,*Letter of Authorization (EUA),Creation Date,Modified Date,,,Needs Review
,"Clear Labs, Inc.",Clear Dx SARS-CoV-2 Test ,,https://www.clearlabs.com/covid-19/,Kit,USA,"EUA granted September 23, 2020",Laboratory,H,Molecular,RNA,NGS,"NP swab, OP swab, ANs swab, MTNs swab, NP wash, NP aspirate, Ns aspirate, BAL","VTM, UTM, Phosphate Buffer Saline (PBS), Saline",not disclosed,NA,"MagMAX Viral RNA Isolation Kit for RNA extraction, fully automated Clear Dx system including Hamilton STAR robotic workstation and Hamilton On-Deck Thermal Cyclers (software Venus v4)",NGS on Oxford Nanopore GridION Sequencer - MinKNOW 18.12.4,ND,2 copy/μL,,No cross-reactivity detected in wet lab testing,100.00%,50,Clinical,100.00%,32,,,"PPA determined with 50 clinical NP swab specimens confirmed positive with an undisclosed EUA-approved molecular test. 
NPA determined with 32 clinical NP swab specimens confirmed negative with an undisclosed EUA-approved molecular test. ",not included ,included,not included,,https://www.fda.gov/media/142418/download,https://www.fda.gov/media/142419/download,,,,,
,"Jiangsu Well Biotech Co., Ltd.",Orawell IgM/IgG Rapid Test,,ND,Kit,China,"EUA granted September 23, 2020",Laboratory,"H, M",Serology ,IgM/IgG,Lateral Flow,"Ser, Pla ",ACD (acid citrate dextrose) for plasma,NA,S,Manual,Colorimetric with visual read,10 minutes,NA,,No cross-reactivity detected in wet lab testing,100.00%,58,Clinical,94.80%,97,,,"PPA determined with 58 clinical frozen serum samples confirmed positive with an undisclosed molecular test and in which the presence of IgM and IgG antibodies was confirmed using one or several undisclosed comparator
 methods. 
NPA determined with 97 ACD-plasma samples collected prior to 2020 and including 87 samples selected regardless of clinical status and 10 samples selected from HIV-positive patients, , confirmed sars-cov2 negative using an undisclosed molecular test.                                                                                
Clinical performance was tested at the  NCI-sponsored Frederick National Laboratory for Cancer Research (USA). ",not included ,included,not included,,https://www.fda.gov/media/142422/download,https://www.fda.gov/media/142423/download,,,,,
,Quadrant Biosciences Inc.,Clarifi COVID-19 Test Kit,,https://www.quadrantbiosciences.com/covid-19-projects/,Kit,USA,"EUA granted September 22, 2020",Laboratory,H,Molecular ,RNA,rRT-PCR,Sal,ORAcollect•RNA (OR-100) saliva collection device,ORF1ab,NA,Quadrant Quick RNA Viral 96 Kit extraction kit (included),"Bio-Rad CFX96 Touch Real-Time PCR Detection System (BioRad CFX Maestro Software, version not disclosed), Bio-Rad CFX384 Touch Real-Time PCR Detection System (BioRad CFX Maestro Software, version not disclosed), AB QuantStudio 5 Real-Time PCR System (QuantStudio software, version not disclosed)",ND,1 copy/μL on all three authorized instruments,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,31,Clinical,100.00%,32,,,"PPA determined with 31 clinical saliva swabs collected from the same patients between 0 to 5 days after NP swab collection (collection site not disclosed) and confirmed positive with an undisclosed EUA-approved molecular test. 
NPA determined with 32 clinicalsaliva swabs collected from the same patients between 0 to 5 days after NP swab collection (collection site not disclosed) and confirmed negative with an undisclosed EUA-approved molecular test. ",included,included,included,,https://www.fda.gov/media/142379/download,https://www.fda.gov/media/142376/download,,,,,
,Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0 ,,https://www.veladx.com/product/qpcr-respiratory-viruses/virokey-sars-cov-2-rt-pcr-test-v2.html,Kit,Singapore,"EUA granted September 22, 2020",Laboratory,H,Molecular ,RNA,rRT-PCR,"NP swab, OP swab, ANs swab, MTNs swab, Ns aspirate, NP aspirate, Ns wash, BAL",ND,"N, ORF1a",NA,ViroKey™ SX Virus Total Nucleic Acid Kit on Sentosa® automated workflow using the liquid handler Sentosa® SX101 instrument. ,"Sentosa® SA201 Real-Time PCR system ( Sentosa® SA201 Reporter software, version not disclosed), AB 7500 Fast Dx Real-Time PCR System (ABI SDS Software 1.4.1)",ND,200 copies/mL with the Sentosa® SA201 Real-Time PCR system,,Cross-reactivity was observed with Mycoplasma pneumoniae and adenovirus 71 in wet lab testing,97.10%,34,Clinical,100.00%,34,,,"PPA determined with 34 clinical NP swabs collected from an undisclosed location and confirmed positive with an undisclosed EUA-approved molecular test. 
NPA determined with 34 clinical NP swabs collected from an undisclosed location and confirmed negative with an undisclosed EUA-approved molecular test. 
All samples were extracted with ViroKey™ SX Virus Total Nucleic Acid Kit on the Sentosa SX101 instrument and detected with the Sentosa® SA201.",included,included,included,,https://www.fda.gov/media/142383/download,https://www.fda.gov/media/142380/download,,,,,
,"KimForest Enterprise Co., Ltd.",KimForest SARS-CoV-2 Detection Kit v1 ,,https://www.kimforest.com/index.php?action=medicine&lang=3,Kit,Taiwan,"EUA granted September 21, 2020",Laboratory,H,Molecular ,RNA,rRT-PCR,"NP swab, OP swab, ANs swab, MTNs swab, NP wash, NP aspirate,  Ns aspirate, BAL",VTM,ORF1ab ,NA,QIAamp Viral RNA Mini Kit for RNA extraction (Qiagen),AB StepOne/StepOnePlus Real-Time PCR System (software v2.3),ND,200 copies/mL,,No cross-reactivity predicted in silico,100.00%,30,Clinical,100.00%,30,,,"PPA determined with 30 clinical samples (20 NP swabs, 10 OP swabs) collected from an undisclosed location and confirmed positive with an undisclosed EUA-approved molecular test.
NPA determined with 30 clinical samples (20 NP swabs, 9 OP swabs, 1 unknown swab specimen) collected from an undisclosed location and confirmed negative with an undisclosed EUA-approved molecular test.",included,included,included,,https://www.fda.gov/media/142363/download,https://www.fda.gov/media/142360/download,,,,,
,GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,,https://www.gkcmo.com/sars-cov-2,Kit,USA,"EUA granted September 18, 2020",Laboratory,H,Molecular ,RNA,rRT-PCR,"NP swab, OP swab, MTNs swab, Ns swab",VTM,"N (N1, N2)",NA,QIAamp Viral RNA Mini Kit for RNA extraction (Qiagen),AB 7500 Dx Fast Real-Time PCR with Sequence Detection System (SDS) (software v1.4),3 hours,2 copies/uL,,No cross reactivity predicted in silico nor detected in wet lab testing,100.00%,45,Clinical,100.00%,45,,,"PPA determined with 45 clinical NP swab samples collected from an undisclosed CLIA lab in Puerto Rico and confirmed positive with an undisclosed EUA-approved test.
NPA determined with 45 clinical NP swab samples collected from an undisclosed CLIA lab in Puerto Rico and confirmed negative with an undisclosed EUA-approved test.",included,included,included,,https://www.fda.gov/media/142310/download,https://www.fda.gov/media/142307/download,,,,,
,"Visby Medical, Inc.",Visby Medical COVID-19 ,,https://www.visbymedical.com/covid-19-test,Kit,USA,"EUA granted September 16, 2020",Laboratory,"H, M",Molecular ,RNA,epRT-PCR,"NP swab, Ns swab, MTN swab collected by HSP, or self-collected  Ns swab, MTN swab ","UTM, UVT",N,NA,Automated,Visual read on Visby Medical COVID-19 test unit,30 minutes,1 copy/uL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,30,Clinical,100%%,30,,,"PPA determined with 30 clinical samples (undisclosed type of samples) collected from an undisclosed site and confirmed positive with an undisclosed test.
NPA determined with 30 clinical samples (undisclosed type of samples) collected from an undisclosed site and confirmed negative with an undisclosed test.",not included ,included,not included,,https://www.fda.gov/media/142228/download,https://www.fda.gov/media/142225/download,,,,,
,"Shenzhen New Industries Biomedical Engineering Co., Ltd.",MAGLUMI 2019-nCoV IgM/IgG,,https://www.snibe.com/zh_en/en_index.aspx,Kit,China,"EUA granted September 14, 2020",Laboratory,"H, M",Serology,IgM/IgG,Heterogeneous Immunoassay (CLIA),Ser,NA,NA,"S, N",Manual,MAGLUMIITM series fully-automated chemiluminescence immunoassay analyzer,ND,NA,,No cross-reactivity detected in wet lab testing,"100% for IgG, 77.5% for IgM",142,Clinical,"99.1% for IgG, 99.6% for IgM",226,,,"PPA determined with 142 clinical serum samples collected from an undisclosed clinical trial site and confirmed positive with an undisclosed PCR test.
NPA determined with 226 clinical serum samples collected from an undisclosed clinical trial site and confirmed negative using an undisclosed PCR test.",included,included,included,,https://www.fda.gov/media/142233/download,https://www.fda.gov/media/142230/download,,,,,
,"Roche Molecular Systems, Inc.","cobas SARS-CoV-2 & Influenza A/B Nucleic Acid Test for use on the cobas 
Liat System",,https://diagnostics.roche.com/us/en/products/params/cobas-sars-cov-2-influenza-a-b-nucleic-acid-test.html,Kit,USA,"EUA granted September 14, 2020","Laboratory, POC","H, M, W",Molecular,RNA,rRT-PCR,"NP swab, Ns swab","UTM (Copan Diagnostics), UVT (BD)","Sars-CoV-2: ORF1ab, N
Influenza A: M
Influenza B: NS",NA,Roche cobas Liat Lysis Buffer on the Roche cobas Liat Analyzer,Roche cobas Liat Analyzer,~20 minutes after sample loading,0.012 TCID50/mL (12 copies/mL),,No cross-reactivity predicted in silico nor detected in wet lab testing (only conducted wetlab testing against SARS-CoV-1 when evaluating cross-reactivity for SARS-CoV-2),100.00%,56,Clinical,100.00%,229,,,"PPA determined with 56 clinical positive NP specimens collected in UTM from patients with a suspected respiratory infection (sample provenance not disclosed; positive determination made using an FDA-cleared EUA, cobas SARS-CoV-2 test on cobas 6800/8800 Systems).  
NPA determined with 229 clinical negative NP and Ns specimens (number of each sample type not disclosed) collected in UTM from patients with a suspected respiratory infection (sample provenance not disclosed; negative determination made using an FDA-cleared EUA, cobas SARS-CoV-2 test on cobas 6800/8800 Systems).  Note that three of the negative samples initally generated an invalid result and were re-tested.
Also conducted a competitive inhibition study for all three viruses and a reproducibility study, a matrix equivalency study, and additional non-clinical and clinical studies for influenza A and B",included,included,included,ND,https://www.fda.gov/media/142193/download,https://www.fda.gov/media/142190/download,,,,,
,"BioCheck, Inc.",BioCheck SARS-CoV-2 IgM Antibody Test Kit,,https://acceleratediagnostics.com/products/biocheck-sars-cov-2-igm-and-igg-test-kits/?utm_source=biocheck&utm_medium=website&utm_campaign=biocheck_referral&utm_content=homelink,Kit,USA,"EUA granted September 09, 2020",Laboratory,"H, M",Serology,IgM,Heterogeneous Immunoassay (CLIA),Ser,NA,NA,S,Manual,MS-Fast Automated Chemiluminescent Immunoassay Analyzing System,30 minutes,NA,,No cross-reactivity detected in wet lab testing,95.50%,110,Clinical,97.20%,143,,,"PPA determined with 110 clinical serum samples collected from patients at two Chinese clinical trial centers (institutions not disclosed) and confirmed positive with an undisclosed PCR test. 
NPA determined with 43 pre-pandemic clinical serum samples collected from patients at two Chinese clinical trial centers and 100 pre-pandemic samples collected from patients in the United States (institutions not disclosed) and confirmed negative with an undisclosed PCR test.",included,included,included,,https://www.fda.gov/media/142002/download,https://www.fda.gov/media/141998/download,,,,,
,"BioCheck, Inc.",BioCheck SARS-CoV-2 IgG Antibody Test Kit,,https://acceleratediagnostics.com/products/biocheck-sars-cov-2-igm-and-igg-test-kits/?utm_source=biocheck&utm_medium=website&utm_campaign=biocheck_referral&utm_content=homelink,Kit,USA,"EUA granted September 09, 2020",Laboratory,"H, M",Serology,IgG,Heterogeneous Immunoassay (CLIA),Ser,NA,NA,S,Manual,MS-Fast Automated Chemiluminescent Immunoassay Analyzing System,30 minutes,NA,,No cross-reactivity detected in wet lab testing,99.10%,110,Clinical,100.00%,143,,,"PPA determined with 110 clinical serum samples collected from patients at two Chinese clinical trial centers (institutions not disclosed) and confirmed positive using a comparator PCR test (test identity not disclosed). 
NPA determined with 43 pre-pandemic clinical serum samples collected from patients at two Chinese clinical trial centers and 100 pre-pandemic samples collected from patients in the United States (institutions not disclosed) and confirmed negative for SARS-CoV-2 using a comparator PCR test (test identity not disclosed). ",included,included,included,,https://www.fda.gov/media/142006/download,https://www.fda.gov/media/142003/download,,,,,
,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",Wantai SARS-CoV-2 RT-PCR Kit,,http://www.ystwt.cn/covid-19/,Kit,China,"EUA granted September 09, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,OP swab,"VTM, UTM","ORF1ab, N",NA,"Wantai Nucleic Acid Extracting Reagent on the ThermoFisher KingFisher Flex 96, Wantai Nucleic Acid Extracting Reagent on the NEXOR 32, Wantai Nucleic Acid Extracting Reagent on the NEXOR 96, Qiagen QIAamp Viral RNA Mini Kit","Bio-Rad CFX-96 (Bio-Rad CFX Manager 3.1), ABI 7500 (Software version 2.3)",ND,50 copies/mL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,36,Clinical,100.00%,40,,,"PPA determined with 36 clinical positive NP specimens (samples collected at the Third People’s Hospital of Shenzhen, China; extraction done with the Wantai Nucleic Acid Extracting Reagent and detection done on the ABI 7500; positive determination made using an undisclosed EUA authorized molecular comparator assay).  
NPA determined with 40 clinical negative NP specimens (samples collected at the Third People’s Hospital of Shenzhen, China; extraction done with the Wantai Nucleic Acid Extracting Reagent and detection done on the ABI 7500; negative determination made using an undisclosed EUA authorized molecular comparator assay).
*Note that an initial extraction of the samples resulted in 17 inconclusive results and the above validation numbers were from a secondary extraction of the same samples.",included,included,included,ND,https://www.fda.gov/media/141997/download,https://www.fda.gov/media/141994/download,,,,,
,"BillionToOne, Inc.",qSanger-COVID-19 Assay,,https://billiontoone.com/,Kit,USA,"EUA granted September 04, 2020",Laboratory,H,Molecular,RNA,"RT-PCR, Sanger Sequencing","Ns swab, MTNs swab, NP swab, OP swab",UTM,ND,NA,"Amplification: ABI Veriti Thermal Cycler
PCR Cleanup:  ThermoFisher ExoSAP-IT PCR Product Cleanup Reagent
Sequencing preparation: Fisher Scientific BigDye Terminator v3.1 Cycle Sequencing Kit","ABI 3730xl DNA Analyzer (Data Collection Software Version 5, Sequencing Analysis Software Version 7, optional BillionToOne qSanger-COVID-19 QC Software)",ND,3200 copies/mL (20 copies/rxn),,No cross-reactivity predicted in silico,90.00%,30,Clinical,100.00%,30,,,"PPA determined with 30 clinical positive NP specimens collected in BD UVT (samples collected during standard clinical visits at an undisclosed academic medical center; positive determination made using two undisclosed EUA authorized RT-PCR tests). 
NPA determined with 30 clinical negative NP specimens collected in BD UVT (samples collected during standard clinical visits at an undisclosed academic medical center; negative determination made using two undisclosed EUA authorized RT-PCR tests). 
",not included,included,included,ND,https://www.fda.gov/media/141935/download,https://www.fda.gov/media/141932/download,,,,,
Y,Verily Life Sciences,Verily COVID-19 RT-PCR Test,,https://verily.com/,Lab,USA,"EUA granted September 08, 2020",Laboratory,H,"Molecular, Pooling",RNA,rRT-PCR,"Ns swab, MTNs swab, NP swab, OP swab",ND,"ORF1ab, N, S",NA,"Sample pooling: Tecan Fluent GX Automated Liquid Handler (software version 2.6) 
RNA extraction: Thermofisher MagMAX Viral/Pathogen Nucleic Acid Isolation on the Thermofisher KingFisher Flex Magnetic Particle Processor","ABI 7500 Dx Fast Real-Time PCR (software version 1.4.1), ABI QuantStudio 5 Real-Time PCR Instrument (software version 1.5.1 )",ND,60 GCE/mL,,No cross-reactivity predicted in silico,98.87%,265,Pools of clinical specimens,100.00%,140,,,"PPA determined with: 
1) 35 individual clinical positive NP specimens with detection on the ABI 7500 Fast Dx (specimen provenance not disclosed; positive determination with the ThermoFisher TaqPath COVID-19 Combo Kit)
2) 35 individual clinical positive NP specimens with detection on the ABI Quantstudio 5 (specimen provenance not disclosed; positive determination with the ThermoFisher TaqPath COVID-19 Combo Kit; same specimens as those run on the ABI 7500 Fast Dx)
3) 40 positive sample pools each comprised of one individual positive NP specimen and seven negative NP specimens with detection on the ABI 7500 Fast Dx (specimen provenance not disclosed; positive and negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit; for negative sample pool creation, 49 individual negative specimens were used to create seven negative sample pools each containing seven unique negative samples, and the negative sample pools were then used to dilute up to six positive samples to create one of the 40 sample pools)
4) 9 positive sample pools each comprised of one individual positive NP specimen and seven negative NP specimens with detection on the ABI 7500 Fast Dx (specimen provenance not disclosed; positive and negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit;  for negative sample pool creation, 72 individual negative specimens were used to create nine unique negative sample pools with no sharing of negative specimens between sample pools)
5) 40 positive sample pools each comprised of one individual positive NP specimen and seven negative NP specimens with detection on the ABI QuantStudio 5 (specimen provenance not disclosed; positive and negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit; for negative sample pool creation, 49 individual negative specimens were used to create seven negative sample pools each containing seven unique samples, and the negative sample pools were then used to dilute up to six positive samples to create one of the 40 sample pools)
6) 9 positive sample pools each comprised of one individual positive NP specimen and seven negative NP specimens with detection on the ABI QuantStudio 5 (specimen provenance not disclosed; positive and negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit;  for negative sample pool creation, 72 individual negative specimens were used to create nine unique negative sample pools with no sharing of negative specimens between sample pools)
7) 40 positive sample pools each comprised of one individual positive NP specimen and eleven negative NP specimens with detection on the ABI 7500 Fast Dx (specimen provenance not disclosed; positive and negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit; for negative sample pool creation, 44 individual negative specimens were used to create four negative sample pools each containing eleven unique negative samples, and the negative sample pools were then each used to dilute ten positive samples to create one of the 40 sample pools)
8) 9 positive sample pools each comprised of one individual positive NP specimen and eleven negative NP specimens with detection on the ABI 7500 Fast Dx (specimen provenance not disclosed; positive and negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit;  for negative sample pool creation, 72 individual negative specimens were used to create negative sample pools in which 27 negative samples were used in up to three combination-unique negative sample pools)
9) 40 positive sample pools each comprised of one individual positive NP specimen and eleven negative NP specimens with detection on the ABI QuantStudio5 (specimen provenance not disclosed; positive and negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit; for negative sample pool creation, 44 individual negative specimens were used to create four negative sample pools each containing eleven unique negative samples, and the negative sample pools were then each used to dilute ten positive samples to create one of the 40 sample pools)
10) 9 positive sample pools each comprised of one individual positive NP specimen and eleven negative NP specimens with detection on the ABI QuantStudio5 (specimen provenance not disclosed; positive and negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit;  for negative sample pool creation, 72 individual negative specimens were used to create negative sample pools in which 27 negative samples were used in up to three combination-unique negative sample pools)


NPA determined with: 
1) 30 individual clinical negative NP specimens with detection on the ABI 7500 Fast Dx (specimen provenance not disclosed; negative determination with the ThermoFisher TaqPath COVID-19 Combo Kit)
2) 30 individual clinical negative NP specimens with detection on the ABI Quantstudio 5 (specimen provenance not disclosed; negative determination with the ThermoFisher TaqPath COVID-19 Combo Kit; same specimens as those run on the ABI 7500 Fast Dx)
3) 40 negative sample pools each comprised of twelve negative NP specimens with detection on the ABI 7500 Fast Dx (specimen provenance not disclosed; negative determination for individual samples conducted with ThermoFisher TaqPath COVID-19 Combo Kit; for negative sample pool creation, 65 individual negative specimens were used to create the 40 negative sample pools)


Sample position study was also conducted.

",Included,included,Included,ND,https://www.fda.gov/media/141951/download,https://www.fda.gov/media/141948/download,,,,,
,"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,,https://pclabsdx.com/covid-19-press-release-pcldx/,Lab,USA,"EUA granted August 28, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"NP swab, OP swab",ND,"N, ORF1ab, S",ND,Omega BiotekMag-Bind Viral RNA Xpress Kit on the Hamilton Vantage Liquid Handling System,ABI QuantStudio 12K Flex Instrument (software version 1.4),ND,100 copies/uL,,No cross-reactivity predicted in silico,100.00%,40,Clinical,100.00%,35,,,"PPA determined with 
1) 11 clinical positive NP specimens collected from patients suspected of COVID-19 (exact sample provenance not disclosed, positive determination made using an undisclosed FDA emergency use authorized SARS-CoV-2 molecular test at an undisclosed external laboratory),
2) 12 clinical positive NP specimens collected from patients suspected of COVID-19 (exact sample provenance not disclosed, positive determination made using a second undisclosed FDA emergency use authorized SARS-CoV-2 molecular test at a second undisclosed external laboratory), and
3) 17 clinical positive NP specimens collected from patients suspected of COVID-19 (exact sample provenance not disclosed, positive determination made using a third undisclosed FDA emergency use authorized SARS-CoV-2 molecular test at a third undisclosed external laboratory).
NPA determined with 
1) 19 clinical negative NP specimens collected from patients suspected of COVID-19 (exact sample provenance not disclosed, negative determination made using an undisclosed FDA emergency use authorized SARS-CoV-2 molecular test at an undisclosed external laboratory),
2) 8 clinical negative NP specimens collected from patients suspected of COVID-19 (exact sample provenance not disclosed, negative determination made using a second undisclosed FDA emergency use authorized SARS-CoV-2 molecular test at a second undisclosed external laboratory), and
3) 8 clinical negative NP specimens collected from patients suspected of COVID-19 (exact sample provenance not disclosed, negative determination made using a third undisclosed FDA emergency use authorized SARS-CoV-2 molecular test at a third undisclosed external laboratory).",included,included,included,ND,https://www.fda.gov/media/141665/download,https://www.fda.gov/media/141665/download,,,,,
,"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,,https://baycare.org/services/laboratories,Lab,USA,"EUA granted August 31, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,Up to 2 pooled samples: NP swab,ND,"ORF1, E",NA,"Roche cobas 6800 System (software version 1.2, ASAP v10.1.0), Roche cobas 8800 System (software version 1.2, ASAP v10.1.0), Roche cobas 6800 System (software version 1.3, ASAP v11.1.0), Roche cobas 8800 System (software version 1.3, ASAP v11.1.0). ","Roche cobas 6800 System (software version 1.2, ASAP v10.1.0), Roche cobas 8800 System (software version 1.2, ASAP v10.1.0), Roche cobas 6800 System (software version 1.3, ASAP v11.1.0), Roche cobas 8800 System (software version 1.3, ASAP v11.1.0). ",ND,46 copies per mL for both targets with AccuPlex SARS-CoV-2; 0.009 TCID50/mL (ORF1ab) and 0.003 TCID50/mL (E gene) with live virus,,No cross-reactivity predicted in silico,88.00%,50,Pools of clinical specimens,100.00%,30,,,"PPA determined with 
1) 20 pools each comprised of one individual positive NP specimen and one individual negative NP specimen combined in equal volumes (NP specimens collected from a patient population with positivity rate of 0.16% based on 14,598 samples based on single sample testing from May 4th to June 30th) and 
2) 30 pools each comprised of one individual positive NP specimen with a viral amount close to the LoD of the Roche assay (Ct values >30) and one individual negative NP specimen combined in equal volumes.
Positive and negative determinations made with the Roche cobase SARS-CoV-2 test and results of pooled specimens compared to results compared against results from the corresponding positive NP specimens measured individually.
NPA determined with 30 negative pools (composition of negative pools not disclosed, NP specimens collected from a patient population with positivity rate of 0.16% based on 14,598 samples based on single sample testing from May 4th to June 30th)
In silico sensitivity study also conducted.

*Note that the assay under evalaution uses the Roche cobas SARS-CoV-2 assay",included,included,included,ND,https://www.fda.gov/media/141769/download,https://www.fda.gov/media/141766/download,,,,,
,"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,,https://mammoth.bio/,Kit,USA,"EUA granted August 31, 2020",Laboratory,H,Molecular,RNA,DETECTR,"NP swab, OP swab, MTNs swab, ANs swab, NP wash, NP aspirate, Ns aspirate",UTM,N,NA,Qiagen EZ1 DSP Virus Kit on the Qiagen EZ1 Advanced Benchtop Automated Extraction Instrument,ABI 7500 Fast Dx Real-Time PCR Instrument (software version not disclosed),ND,20 copies/uL,,No cross-reactivity predicted in silico nor detected in wet lab testing,95.00%,40,Clinical,100.00%,62,,,"PPA determined with 40 blinded clinical positive NP specimens collected prospectively after January 2020 during routine testing of individuals presenting with COVID-19 symptoms and obtained from the UCSF CLIA certified high complexity clinical laboratory (positive determination made using an undisclosed comparator test).. 
NPA determined with 62 blinded clinical negative NP specimens collected prospectively after January 2020 during routine testing of individuals presenting with COVID-19 symptoms and obtained from the UCSF CLIA certified high complexity clinical laboratory (negative determination made using an undisclosed comparator test).",not included,included,not included,https://www.nature.com/articles/s41587-020-0513-4,https://www.fda.gov/media/141765/download,https://www.fda.gov/media/141762/download,,,,,
,MiraDx,MiraDx SARS-CoV-2 RT-PCR assay,,https://miradx.com/covid-19-testing/,Lab,USA,"EUA granted August 31, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Ns swab, MTNs swab, NP swab, OP swab, NP wash, NP aspirate, Ns aspirate","NP swab: VTM, ITM, Liquid Amies, PBS, saline
OP swab: DNA Genotek ORAcollect RNA collection device","N (N1, N2)",NA,Omega Bio-Tek Mag-Bind Viral DNA/RNA Kit on the Hamilton Microlab STAR (software version 4.5.0.5217),ABI QuantStudio 6 Flex PCR Instrument (software version 1.3),24 - 48 hours for result from lab,4 copies/uL,,No cross-reactivity predicted in silico,96.90%,32,Clinical,100.00%,37,,,"PPA determined with 32 clinical positive NP and OP specimens (number of each sample type not disclosed, sample provenance not disclosed, positive determination made using two undisclosed FDA EUA tests). 
NPA determined with 37 clinical negative NP and OP specimens (number of each sample type not disclosed, sample provenance not disclosed, negative determination made using two undisclosed FDA EUA tests). ",included,included,included,ND,https://www.fda.gov/media/141760/download,https://www.fda.gov/media/141756/download,,,,,
,"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,,https://www.t2biosystems.com/products-technology/t2sars-cov-2-panel/,Kit,USA,"EUA granted August 31, 2020",Laboratory,H,Molecular,RNA,T2MR,"Ns swab, MTNs swab, NP swab, OP swab, BAL","VTM, Amies transport medium, saline",ND,NA,T2 Biosystems T2Dx Instrument,T2 Biosystems T2Dx Instrument,<2 hours for results,"2,000 GE/mL",,No cross-reactivity predicted in silico,95.00%,60,Clinical,100.00%,41,,,"PPA determined with 60 clinical positive NP specimens (sample provenance not disclosed, positive determination made using an undisclosed FDA EUA RT-PCR test). 
NPA determined with 41 clinical negative NP specimens (sample provenance not disclosed, negative determination made using an undisclosed FDA EUA RT-PCR test). ",not included,included,not included,https://pubmed.ncbi.nlm.nih.gov/25586686/,https://www.fda.gov/media/141755/download,https://www.fda.gov/media/141752/download,,,,,
,University of Arizona Genetics Core for Clinical Services,COVID-19 ELISA pan-Ig Antibody Test,,http://uagcclinical.arizona.edu/,Lab,USA,"EUA granted August 31, 2020",Laboratory,H,Serology,IgA/IgM/IgG,ELISA,Ser,NA,NA,"S1 (RBD), S2",Undisclosed liquid handling robot,Undisclosed microplate reader,ND,NA,,"3/320 serum samples collected between 2014 and 2019, prior to the onset of SARS-CoV-2 in the human population, and with a high prevalence of vaccination against and/or infection with expected cross-reactants tested indeterminate (indeterminate for RBD and positive for S2) for SARS-CoV-2 antibodies with assay under evaluation",97.50%,40,Clinical,99.06%,320,,,"PPA determined with 40 clinical serum specimens collected >14 days pso from patients that were confirmed positive for SARS-CoV-2 by PCR 14–67 days prior to serum collection (positive PCR determination using the FDA authorized assay for the Roche cobas 8800 Instrument performed on NP swabs at Banner University Medical Center at Banner University Medical Center).  
NPA determined with 320 serum specimens collected prior to the onset of SARS-CoV-2 (between 2014 and 2019) under an IRB from the general population, obtained through the UAHS Biorepository, and presumed to be negative. ",included,not included,included,ND,https://www.fda.gov/media/141777/download,https://www.fda.gov/media/141774/download,,,,,
